dist,regime,BR,MC,BA,REF,N_replicates
normal,small,0.0100300000002153,0.572082500000101,0.306952500000118,13.1495474999999,400
normal,moderate,0.0102725000000464,0.573700000000335,0.309207500000448,67.0915325000002,400
normal,large,0.0114325000000463,0.586300000000083,0.326032499999092,68.4721825000009,400
uniform,small,0.0101875000003201,0.569462500000518,0.30619999999959,16.3610174999998,400
uniform,moderate,0.0107949999997072,0.57175499999903,0.308555000000488,67.0657124999991,400
uniform,large,0.0118950000008044,0.582792500000214,0.325670000000318,68.2753999999989,400
exponential,small,0.0102524999993329,0.566900000000533,0.305535000000164,14.4320249999998,400
exponential,moderate,0.0109825000006822,0.572412500000646,0.309502500000526,67.5637050000004,400
exponential,large,0.0120474999995349,0.583552500001606,0.325557499999995,68.306445000001,400
gamma,small,0.010310000001482,0.566329999999725,0.305467500000523,13.3997624999989,400
gamma,moderate,0.0109875000006286,0.571927500001766,0.308474999999889,67.3849500000033,400
gamma,large,0.012144999999,0.583910000000615,0.32575250000009,68.3457025000009,400
lognormal,small,0.0103624999975727,0.566145000001998,0.305224999998463,13.3628250000016,400
lognormal,moderate,0.0111800000001676,0.571270000000368,0.308022499999061,67.2523774999988,400
lognormal,large,0.0121025000006193,0.583395000000892,0.325372500001686,68.4941700000002,400
